"By province","By economic activity","Item","UNIT","1985 Year","1986 Year","1987 Year","1988 Year","1989 Year","1990 Year","1991 Year","1992 Year","1993 Year","1994 Year","1995 Year","1996 Year","1997 Year","1998 Year","1999 Year","2000 Year","2001 Year","2002 Year","2003 Year","2004 Year","2005 Year","2006 Year","2007 Year","2008 Year","2009 Year","2010 Year","2011 Year","2012 Year","2013 Year","2014 Year","2015 Year","2016 Year","2017 Year","2018 Year","2019 Year","2020 Year","2021 Year","2022 Year","2023 Year","2024 Year",
"Seoul","GRDP at market prices","At current prices","","23894954","28300476","33326065","39099738","45269775","55301191","67241255","76204066","87267780","100628944","115489968","126685169","138846634","138569635","150844167","171126042","185951016","207221485","220525293","227984560","240165211","254845589","277068235","293244064","305877383","326942113","339841574","348077389","355173174","365436782","386818107","407074525","427092668","451385832","465940680","472863219","507460707","528484481","553011544","575035349",
"Seoul","GRDP at market prices","At chained 2020 year prices","","84551426","93984779","107015808","118718686","128135239","141429904","154609161","166740762","179822791","190793490","203696853","215433991","226124622","217654575","236996716","261575370","273292508","292063517","296817704","301533949","314613195","328443613","348285726","356180881","361203536","373707627","385357097","390618905","398144419","404439495","416886307","431299923","442507582","460496443","475206455","472863219","491388714","504359507","509686916","514920631",
"Seoul","GRDP at market prices","Substantial contribution","","","11.16","13.87","10.94","7.93","10.38","9.32","7.85","7.85","6.1","6.76","5.76","4.96","-3.75","8.89","10.37","4.48","6.87","1.63","1.59","4.34","4.4","6.04","2.27","1.41","3.46","3.12","1.37","1.93","1.58","3.08","3.46","2.6","4.07","3.19","-.49","3.92","2.64","1.06","1.03",
"Seoul","Mining and quarrying","At current prices","","14146","9483","4337","15166","2992","2277","8007","3202","9491","10552","9916","10237","7444","30527","9143","27023","15504","32730","15827","17230","41825","42250","40552","36756","42397","70735","69803","76004","73024","6110","5601","4108","3154","8587","7910","9047","9815","12163","6751","7033",
"Seoul","Mining and quarrying","At chained 2020 year prices","","103512","59571","26974","95477","17703","10792","31210","13752","39146","37575","30770","29358","19519","75670","23776","76187","42005","65349","38127","41705","53599","55841","49752","43216","51002","93404","80497","86481","78763","6675","5721","4019","2921","8122","7504","9047","11713","14091","6276","6135",
"Seoul","Mining and quarrying","Substantial contribution","","","-.03","-.02",".03","-.03","0",".01","-.01",".01","0","0","0","0",".02","-.02",".01","-.01","0","-.01","0","0","0","0","0","0",".01","0","0","0","-.02","0","0","0","0","0","0","0","0","0","0",
"Seoul","Manufacturing","At current prices","","2459728","3059710","3824234","4243650","4163422","4413146","5022123","6265903","6996077","8008016","9050574","9697360","9462833","8432640","8723987","10138107","10105242","11645505","12385395","12117801","13117734","13499764","15242541","14720667","15978150","16957194","17519990","19401323","19459864","19295312","19576443","20742563","21780217","22211599","21477153","19684474","20340269","20197325","20144396","21227294",
"Seoul","Manufacturing","At chained 2020 year prices","","6609647","7705147","9409280","9693457","9020924","9424744","9608189","11177562","11578086","12034730","12506777","13435199","12525754","10134914","11147245","12946887","12928172","15063886","16059833","14988336","16330929","17448442","18506261","18257732","17748689","19156673","19403231","21396347","21182261","20926960","20701569","20701158","21529835","21660078","21462062","19684474","20323280","20175264","19548126","19488647",
"Seoul","Manufacturing","Substantial contribution","","","1.71","2.39",".35","-.75",".41",".16","1.22",".29",".32",".31",".58","-.52","-1.3",".61",".93","-.01",".9",".37","-.37",".48",".37",".32","-.07","-.14",".41",".07",".53","-.06","-.07","-.06","0",".2",".03","-.04","-.38",".14","-.03","-.12","-.01",
"Seoul","Manufacture of Food Products and Tobacco Products","At current prices","","207612","225750","270693","295954","299067","327036","352393","416833","468880","492529","463695","448526","476323","465299","415316","475560","455888","512804","500568","486055","402711","347099","413560","416668","392856","371644","384395","409547","397481","444940","430833","481972","482820","484952","590695","614946","617191","658559","763545","866004",
"Seoul","Manufacture of Food Products and Tobacco Products","At chained 2020 year prices","","1181667","1233421","1375493","1430458","1293243","1230273","1185308","1295576","1289578","1184740","1109328","1033433","1043494","868904","760249","861117","824609","890843","848087","766511","630797","534220","578165","583277","593834","459061","449220","489205","461665","492559","462362","496023","496624","489329","600351","614946","638900","703936","704463","782990",
"Seoul","Manufacture of Food Products and Tobacco Products","Substantial contribution","","",".04",".09",".03","-.07","-.03","-.02",".05","0","-.04","-.03","-.03","0","-.06","-.04",".04","-.01",".02","-.01","-.02","-.04","-.03",".01","0","0","-.03","0",".01","-.01",".01","-.01",".01","0","0",".02","0",".01",".01","0",".02",
"Seoul","Manufacture of Textiles and Leather","At current prices","","534411","725090","996004","992633","912855","973376","1243289","1597351","1850280","2130756","2444470","2613729","2591616","2059723","2512753","3032067","3436416","3936432","3965569","4173385","4424550","4512025","5025200","5361473","6297367","6710527","7066259","8057063","7856803","7989265","7653000","7691171","7159826","7135403","7220648","6439390","6445283","6872879","6887718","7056524",
